Variable;Index_1;Index_2;Value
Bin_tipo;0.0;1.0;1.0
Bin_tipo;1.0;0.0;1.0
Bin_tipo;2.0;1.0;1.0
Bin_tipo;3.0;2.0;1.0
Bin_tipo;4.0;2.0;1.0
Vol;0.0;0.0;-5.093703236980218e-13
Vol;0.0;1.0;2700.0000000000005
Vol;0.0;2.0;2.1316282072803006e-13
Vol;1.0;0.0;2800.0
Vol;2.0;0.0;5.093703236980218e-13
Vol;2.0;1.0;1099.9999999999998
Vol;2.0;2.0;-2.042810365310288e-13
Vol;3.0;2.0;1800.0
Vol;4.0;2.0;3000.0
Vol;0.0;0.0;2800.0
Vol;1.0;0.0;3800.0
Vol;2.0;0.0;4800.0
Vol_n_atendido;0.0;0.0;100.0
Vol_n_atendido;1.0;0.0;200.0
Vol_n_atendido;2.0;0.0;100.0
K;0.0;0.0;1.0
K;1.0;1.0;1.0
K;2.0;0.0;1.0
